pl_name,pl_orbper,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,sy_vmag,ra,dec,confirmation_status
Kepler-670 b,2.816504904,12.21,1219.0,521.13,5532.0,4.452,0.955,15.052,297.01547,49.225288,CONFIRMED
Kepler-680 b,3.689920099,1.89,1147.0,408.99,5880.0,4.518,0.917,15.242,291.62241,50.61824,CONFIRMED
Kepler-232 b,4.431238488,3.25,1104.0,351.23,5714.0,4.428,1.015,15.367,295.81616,51.121738,CONFIRMED
Kepler-232 c,11.37936986,3.95,806.0,99.68,5714.0,4.428,1.015,15.367,295.81616,51.121738,CONFIRMED
Kepler-681 b,26.39432897,3.07,489.0,13.49,5129.0,4.595,0.763,15.234,289.39972,51.25032,CONFIRMED
Kepler-106 c,13.57078281,2.64,785.0,89.61,5854.0,4.406,1.012,12.882,300.86398,44.337551,CONFIRMED
Kepler-105 c,7.12594387,1.79,997.0,233.31,5779.0,4.339,1.087,12.791,287.88733,46.276241,CONFIRMED
Kepler-52 c,16.38489988,2.0,433.0,8.35,4126.0,4.661,0.615,15.095,286.73804,49.97575,CONFIRMED
Kepler-52 b,7.8774163,2.16,553.0,22.18,4126.0,4.661,0.615,15.095,286.73804,49.97575,CONFIRMED
Kepler-52 d,36.4454001,1.99,332.0,2.88,4126.0,4.661,0.615,15.095,286.73804,49.97575,CONFIRMED
Kepler-673 b,3.728732147,6.02,1023.0,258.34,5497.0,4.577,0.809,15.523,290.78574,50.054119,CONFIRMED
,40.4195037,7.51,467.0,11.29,5446.0,4.507,0.781,15.487,294.31686,50.080231,CANDIDATE
Kepler-674 b,2.243380573,1.99,822.0,107.6,4149.0,4.698,0.564,15.135,285.17621,50.149818,CONFIRMED
Kepler-675 b,2.337437946,2.34,1070.0,311.16,5005.0,4.595,0.765,15.334,293.83331,50.23035,CONFIRMED
,7.2406612,19.45,734.0,68.63,5005.0,4.595,0.765,15.334,293.83331,50.23035,CANDIDATE
,3.43591631,0.55,1272.0,617.61,5779.0,4.339,1.087,12.791,287.88733,46.276241,CANDIDATE
Kepler-676 b,11.59822233,2.65,396.0,5.82,3688.0,4.79,0.473,15.937,296.22195,50.28722,CONFIRMED
Kepler-677 b,6.575315881,5.31,1015.0,251.38,5992.0,4.415,0.989,15.312,290.09805,50.321609,CONFIRMED
Kepler-678 b,7.275040844,4.86,833.0,113.64,5485.0,4.556,0.867,15.08,295.45529,50.49456,CONFIRMED
Kepler-231 c,19.27153892,1.93,393.0,5.66,4077.0,4.702,0.56,15.385,293.97336,50.53191,CONFIRMED
Kepler-231 b,10.06524317,1.91,488.0,13.43,4077.0,4.702,0.56,15.385,293.97336,50.53191,CONFIRMED
Kepler-679 b,12.3935651,2.66,677.0,49.68,5557.0,4.603,0.75,15.505,296.02133,50.56778,CONFIRMED
Kepler-106 e,43.84439721,2.87,531.0,18.77,5854.0,4.406,1.012,12.882,300.86398,44.337551,CONFIRMED
Kepler-234 b,2.711504086,3.12,1420.0,960.79,6214.0,4.442,1.076,15.541,291.65353,38.494659,CONFIRMED
Kepler-234 c,7.21203748,3.32,1025.0,260.58,6214.0,4.442,1.076,15.541,291.65353,38.494659,CONFIRMED
Kepler-233 b,8.47237911,2.59,751.0,75.44,5354.0,4.587,0.788,15.339,296.36652,51.319519,CONFIRMED
Kepler-233 c,60.4189369,2.36,390.0,5.49,5354.0,4.587,0.788,15.339,296.36652,51.319519,CONFIRMED
Kepler-682 b,12.611904345,7.4,753.0,76.15,5795.0,4.508,0.919,15.14,289.11221,51.737381,CONFIRMED
Kepler-683 b,2.539183147,2.06,1332.0,743.09,5519.0,4.35,1.062,15.026,291.43997,37.905659,CONFIRMED
Kepler-684 b,6.770300385,2.77,812.0,102.87,5653.0,4.656,0.679,15.591,290.87051,38.273628,CONFIRMED
,10.181584004,7.73,812.0,102.91,5988.0,4.541,0.836,15.657,291.28195,38.241669,CANDIDATE
Kepler-235 d,20.06036336,1.96,361.0,4.0,3950.0,4.754,0.493,15.954,286.07913,39.27832,CONFIRMED
Kepler-235 e,46.1842039,1.83,273.0,1.32,3950.0,4.754,0.493,15.954,286.07913,39.27832,CONFIRMED
Kepler-106 d,23.9800854,1.31,649.0,41.94,5854.0,4.406,1.012,12.882,300.86398,44.337551,CONFIRMED
Kepler-235 c,7.82502168,1.2,494.0,14.05,3950.0,4.754,0.493,15.954,286.07913,39.27832,CONFIRMED
Kepler-688 b,3.895936525,7.34,1005.0,241.62,5557.0,4.592,0.774,15.725,294.65524,39.308361,CONFIRMED
Kepler-689 b,22.36646466,2.32,536.0,19.45,5395.0,4.615,0.734,15.583,294.71063,39.52174,CONFIRMED
Kepler-685 b,1.625522174,9.73,1579.0,1467.41,5539.0,4.322,1.106,15.001,293.87192,38.422939,CONFIRMED
,19.620346923,13.6,643.0,40.39,5710.0,4.492,0.905,15.562,293.81619,38.563568,CANDIDATE
Kepler-1727 b,9.02930689,2.57,757.0,77.75,5349.0,4.526,0.82,15.387,290.33362,38.72823,CONFIRMED
Kepler-30 d,143.2063047,8.9,308.0,2.14,5485.0,4.556,0.867,15.403,285.28363,38.947281,CONFIRMED
Kepler-106 b,6.164876,0.79,1021.0,256.35,5854.0,4.406,1.012,12.882,300.86398,44.337551,CONFIRMED
Kepler-30 c,60.32494216,12.19,411.0,6.77,5485.0,4.556,0.867,15.403,285.28363,38.947281,CONFIRMED
Kepler-30 b,29.1598615,1.91,524.0,17.85,5485.0,4.556,0.867,15.403,285.28363,38.947281,CONFIRMED
Kepler-686 b,1.594745374,11.3,1539.0,1329.42,5934.0,4.491,0.893,15.53,285.21381,39.027481,CONFIRMED
Kepler-1728 b,4.783002698,2.5,886.0,145.48,5170.0,4.574,0.807,15.119,287.09399,39.060719,CONFIRMED
Kepler-687 b,20.50588921,3.41,518.0,17.06,4905.0,4.544,0.761,15.398,289.31543,39.153278,CONFIRMED
Kepler-235 b,3.340218842,2.03,656.0,43.73,3950.0,4.754,0.493,15.954,286.07913,39.27832,CONFIRMED
Kepler-53 b,18.64932728,3.12,701.0,57.13,5775.0,4.405,1.053,15.386,290.46176,40.562462,CONFIRMED
Kepler-107 c,4.90144976,1.7,1262.0,598.74,5847.0,4.191,1.402,12.487,297.02826,48.208611,CONFIRMED
Kepler-53 d,9.75192101,2.76,870.0,135.66,5775.0,4.405,1.053,15.386,290.46176,40.562462,CONFIRMED
Kepler-53 c,38.5576546,4.02,550.0,21.71,5775.0,4.405,1.053,15.386,290.46176,40.562462,CONFIRMED
Kepler-428 b,3.525632539,11.58,975.0,213.12,5150.0,4.572,0.793,15.224,290.58173,40.5774,CONFIRMED
,34.84398644,7.61,511.0,16.1,5509.0,4.482,0.871,15.684,285.92001,39.624828,CANDIDATE
Kepler-690 b,7.748094239,5.52,964.0,204.39,5973.0,4.439,1.085,15.67,294.4899,39.771439,CONFIRMED
Kepler-236 c,23.96793669,1.8,329.0,2.77,3747.0,4.728,0.524,15.414,283.86639,39.898079,CONFIRMED
Kepler-236 b,8.29561738,1.82,469.0,11.39,3747.0,4.728,0.524,15.414,283.86639,39.898079,CONFIRMED
Kepler-691 b,8.11437482,2.1,460.0,10.55,3692.0,4.753,0.517,15.877,288.81201,40.033401,CONFIRMED
,4.64090031,30.09,1155.0,421.08,6463.0,4.5,0.826,15.27,295.11371,40.071171,CANDIDATE
Kepler-107 e,14.74914825,2.89,874.0,137.91,5847.0,4.191,1.402,12.487,297.02826,48.208611,CONFIRMED
Kepler-692 b,21.81295996,3.38,639.0,39.33,5601.0,4.41,0.999,15.54,294.77686,40.15374,CONFIRMED
,1.028436523,72.77,1947.0,3400.48,6228.0,4.428,0.99,15.202,296.00699,40.295429,CANDIDATE
Kepler-693 b,15.37562369,11.01,600.0,30.54,4986.0,4.496,0.833,16.422,283.25354,40.358189,CONFIRMED
Kepler-237 c,8.10363271,2.11,687.0,52.82,4861.0,4.574,0.732,15.289,283.22141,40.421829,CONFIRMED
Kepler-237 b,4.71510843,1.46,823.0,108.84,4861.0,4.574,0.732,15.289,283.22141,40.421829,CONFIRMED
Kepler-694 b,6.365839713,2.44,914.0,165.33,5776.0,4.554,0.849,15.09,291.14951,40.420521,CONFIRMED
Kepler-695 b,3.04033046,8.99,1021.0,257.29,5035.0,4.519,0.791,15.028,299.3161,40.82238,CONFIRMED
Kepler-27 b,15.33528675,5.0,610.0,32.67,5251.0,4.581,0.817,15.855,292.23676,41.08588,CONFIRMED
Kepler-107 d,7.95825328,1.06,1074.0,314.15,5847.0,4.191,1.402,12.487,297.02826,48.208611,CONFIRMED
Kepler-27 c,31.33046135,6.5,481.0,12.61,5251.0,4.581,0.817,15.855,292.23676,41.08588,CONFIRMED
Kepler-238 e,23.65369415,7.89,731.0,67.65,5739.0,4.191,1.384,15.084,287.89713,40.637821,CONFIRMED
Kepler-238 d,13.23352214,3.06,888.0,146.67,5739.0,4.191,1.384,15.084,287.89713,40.637821,CONFIRMED
Kepler-238 c,6.15560285,2.32,1146.0,406.94,5739.0,4.191,1.384,15.084,287.89713,40.637821,CONFIRMED
Kepler-238 b,2.090811305,1.62,1642.0,1718.04,5739.0,4.191,1.384,15.084,287.89713,40.637821,CONFIRMED
Kepler-107 b,3.180027898,1.53,1458.0,1066.86,5847.0,4.191,1.402,12.487,297.02826,48.208611,CONFIRMED
Kepler-238 f,50.4467417,2.67,568.0,24.64,5739.0,4.191,1.384,15.084,287.89713,40.637821,CONFIRMED
Kepler-239 b,11.76307164,2.35,616.0,33.99,4959.0,4.603,0.756,15.208,294.20215,40.66341,CONFIRMED
Kepler-239 c,56.2279271,2.37,366.0,4.22,4959.0,4.603,0.756,15.208,294.20215,40.66341,CONFIRMED
Kepler-240 c,7.953547,2.25,696.0,55.37,4768.0,4.536,0.779,15.66,291.15878,40.750271,CONFIRMED
Kepler-240 b,4.14451656,1.48,864.0,132.08,4768.0,4.536,0.779,15.66,291.15878,40.750271,CONFIRMED
Kepler-702 b,10.526294577,8.24,713.0,61.16,5386.0,4.553,0.793,15.305,293.87811,41.66177,CONFIRMED
Kepler-703 b,4.583520948,5.39,1038.0,274.98,5815.0,4.54,0.877,15.287,299.18686,41.74268,CONFIRMED
Kepler-704 b,3.76181843,2.66,1121.0,372.62,5653.0,4.472,0.949,15.257,283.31638,41.83712,CONFIRMED
Kepler-242 b,8.20396958,3.01,742.0,71.5,5015.0,4.499,0.826,15.376,286.5657,41.808399,CONFIRMED
Kepler-242 c,14.49645186,3.01,613.0,33.48,5015.0,4.499,0.826,15.376,286.5657,41.808399,CONFIRMED
Kepler-27 d,6.54626149,2.19,810.0,101.78,5251.0,4.581,0.817,15.855,292.23676,41.08588,CONFIRMED
Kepler-241 b,12.71809866,2.31,562.0,23.6,4702.0,4.592,0.686,15.389,292.91312,41.060921,CONFIRMED
Kepler-241 c,36.06588163,2.64,397.0,5.88,4702.0,4.592,0.686,15.389,292.91312,41.060921,CONFIRMED
Kepler-696 b,4.190425659,6.21,1234.0,547.9,6073.0,4.392,1.135,15.27,293.49661,41.137589,CONFIRMED
Kepler-697 b,3.709870784,4.35,1151.0,415.1,5727.0,4.463,0.978,15.581,283.86441,41.346458,CONFIRMED
Kepler-698 b,16.3297527,3.75,727.0,66.08,5878.0,4.444,0.987,15.447,288.51001,41.301769,CONFIRMED
Kepler-699 b,27.807566216,13.84,554.0,22.24,5862.0,4.584,0.785,15.482,296.88821,41.396091,CONFIRMED
Kepler-700 b,80.8723469,7.59,452.0,9.88,5510.0,4.222,1.238,15.201,287.1543,41.565788,CONFIRMED
Kepler-467 b,24.99324319,2.29,712.0,60.88,5718.0,4.181,1.317,12.377,287.36279,38.649601,CONFIRMED
Kepler-701 b,10.35533116,2.47,777.0,86.22,5501.0,4.462,0.918,15.018,288.9942,41.633282,CONFIRMED
Kepler-709 b,16.08518937,3.68,613.0,33.43,5239.0,4.523,0.826,15.219,292.10519,42.380322,CONFIRMED
,235.9986399,10.59,188.0,0.29,4245.0,4.627,0.657,15.172,293.00797,42.307201,CANDIDATE
Kepler-245 b,7.49018305,2.56,753.0,76.06,5103.0,4.562,0.787,15.599,291.63898,42.436321,CONFIRMED
Kepler-245 d,36.2761238,3.03,445.0,9.29,5103.0,4.562,0.787,15.599,291.63898,42.436321,CONFIRMED
Kepler-245 c,17.46087931,2.32,568.0,24.6,5103.0,4.562,0.787,15.599,291.63898,42.436321,CONFIRMED
Kepler-705 b,56.0560754,1.94,233.0,0.69,3593.0,4.757,0.491,15.849,289.50848,41.812119,CONFIRMED
Kepler-706 b,41.408316686,11.38,453.0,9.93,5522.0,4.586,0.747,15.196,291.76041,41.944069,CONFIRMED
,39.74893077,14.21,552.0,21.87,6122.0,4.487,0.964,15.344,293.17929,41.969238,CANDIDATE
Kepler-243 b,5.715425977,2.47,850.0,123.03,5237.0,4.572,0.826,15.086,285.11047,42.033958,CONFIRMED
Kepler-108 b,49.18394185,8.2,669.0,47.4,5626.0,3.907,2.057,12.654,294.55917,46.062328,CONFIRMED
Kepler-243 c,20.0261412,2.28,559.0,23.14,5237.0,4.572,0.826,15.086,285.11047,42.033958,CONFIRMED
,13.61014819,19.02,733.0,68.29,5697.0,4.46,0.903,15.06,289.89777,42.009151,CANDIDATE
Kepler-707 b,2.237489571,1.41,1160.0,427.17,5265.0,4.58,0.81,15.001,290.00757,42.116459,CONFIRMED
Kepler-708 b,3.167893418,2.62,1221.0,526.23,5895.0,4.503,0.94,15.533,293.81647,42.212502,CONFIRMED
Kepler-244 b,4.311780262,3.11,1038.0,274.84,5527.0,4.484,0.927,15.604,287.24268,42.301369,CONFIRMED
Kepler-244 d,20.0504494,2.69,622.0,35.44,5527.0,4.484,0.927,15.604,287.24268,42.301369,CONFIRMED
Kepler-244 c,9.76734503,2.67,791.0,92.46,5527.0,4.484,0.927,15.604,287.24268,42.301369,CONFIRMED
,119.0207044,8.98,366.0,4.25,5453.0,4.342,1.062,15.085,291.58377,42.36816,CANDIDATE
Kepler-108 c,190.3200468,7.78,426.0,7.8,5626.0,3.907,2.057,12.654,294.55917,46.062328,CONFIRMED
Kepler-82 b,26.44439337,3.91,562.0,23.54,5427.0,4.463,0.929,15.158,292.87338,42.966141,CONFIRMED
Kepler-82 c,51.53997972,5.51,450.0,9.67,5427.0,4.463,0.929,15.158,292.87338,42.966141,CONFIRMED
Kepler-82 e,5.902245782,2.43,926.0,173.74,5427.0,4.463,0.929,15.158,292.87338,42.966141,CONFIRMED
Kepler-82 d,2.382951591,1.86,1253.0,583.01,5427.0,4.463,0.929,15.158,292.87338,42.966141,CONFIRMED
Kepler-712 b,21.02250608,3.07,521.0,17.48,5067.0,4.585,0.75,15.859,294.90973,42.935261,CONFIRMED
Kepler-245 e,3.219814777,1.69,998.0,234.93,5103.0,4.562,0.787,15.599,291.63898,42.436321,CONFIRMED
Kepler-28 b,5.912273234,1.73,585.0,27.72,4072.0,4.696,0.57,15.036,292.13702,42.42942,CONFIRMED
Kepler-28 c,8.98581901,1.65,509.0,15.9,4072.0,4.696,0.57,15.036,292.13702,42.42942,CONFIRMED
,12.940668656,22.94,723.0,64.64,5875.0,4.572,0.809,15.215,291.11969,42.507069,CANDIDATE
Kepler-46 b,33.60123371,8.46,495.0,14.22,5149.0,4.447,0.93,15.262,289.26874,42.604172,CONFIRMED
Kepler-46 d,6.76652928,1.97,845.0,120.48,5149.0,4.447,0.93,15.262,289.26874,42.604172,CONFIRMED
Kepler-710 b,4.347288783,2.36,1174.0,449.79,5754.0,4.345,1.122,15.024,291.96417,42.69614,CONFIRMED
Kepler-246 b,4.601811819,2.35,896.0,152.91,4986.0,4.496,0.833,15.024,296.48343,42.663429,CONFIRMED
Kepler-246 c,11.18719905,1.55,667.0,46.65,4986.0,4.496,0.833,15.024,296.48343,42.663429,CONFIRMED
Kepler-1729 b,4.220965778,2.62,595.0,29.68,3837.0,4.747,0.517,15.692,296.69394,42.62611,CONFIRMED
Kepler-81 b,5.95489993,2.33,635.0,38.52,4261.0,4.641,0.633,15.019,293.63696,42.82497,CONFIRMED
Kepler-81 c,12.03987488,2.18,502.0,15.06,4261.0,4.641,0.633,15.019,293.63696,42.82497,CONFIRMED
Kepler-81 d,20.83762895,1.42,418.0,7.24,4261.0,4.641,0.633,15.019,293.63696,42.82497,CONFIRMED
Kepler-711 b,23.58917143,3.16,487.0,13.34,4919.0,4.566,0.721,15.316,297.46002,42.83992,CONFIRMED
Kepler-109 b,6.481633073,2.54,1145.0,406.25,5945.0,4.213,1.302,12.365,290.39273,40.28487,CONFIRMED
Kepler-716 b,10.37168928,3.2,720.0,63.68,5121.0,4.457,0.888,15.193,290.39322,43.363899,CONFIRMED
Kepler-716 c,3.96996298,1.78,992.0,229.37,5121.0,4.457,0.888,15.193,290.39322,43.363899,CONFIRMED
Kepler-717 b,4.40841331,2.66,1139.0,398.0,6007.0,4.457,0.961,15.662,292.96555,43.34639,CONFIRMED
Kepler-712 c,226.8904775,4.53,236.0,0.73,5067.0,4.585,0.75,15.859,294.90973,42.935261,CONFIRMED
,2.688899233,12.04,929.0,175.76,4820.0,4.667,0.639,15.766,296.68307,42.967869,CANDIDATE
Kepler-247 c,9.439459486,4.16,686.0,52.32,5097.0,4.597,0.779,15.067,288.64252,43.039291,CONFIRMED
Kepler-95 b,11.523067458,3.13,927.0,174.81,5644.0,4.162,1.411,12.346,284.48245,44.398041,CONFIRMED
Kepler-247 d,20.47748843,2.92,530.0,18.65,5097.0,4.597,0.779,15.067,288.64252,43.039291,CONFIRMED
Kepler-247 b,3.336123113,1.74,970.0,209.79,5097.0,4.597,0.779,15.067,288.64252,43.039291,CONFIRMED
Kepler-54 b,8.01078456,1.72,453.0,9.9,3713.0,4.779,0.47,15.847,294.77393,43.056301,CONFIRMED
Kepler-54 c,12.07134205,1.29,395.0,5.74,3713.0,4.779,0.47,15.847,294.77393,43.056301,CONFIRMED
Kepler-54 d,20.99587872,1.3,328.0,2.74,3713.0,4.779,0.47,15.847,294.77393,43.056301,CONFIRMED
Kepler-713 b,7.41113177,2.45,905.0,158.11,5849.0,4.517,0.919,15.031,295.65149,43.029831,CONFIRMED
Kepler-75 b,8.884922995,10.51,770.0,83.21,5332.0,4.5,0.843,15.264,291.1376,36.577381,CONFIRMED
Kepler-714 b,8.09888906,8.95,986.0,223.19,6214.0,4.442,1.076,15.261,282.69952,43.272739,CONFIRMED
Kepler-715 b,10.00653012,3.52,876.0,139.21,6063.0,4.47,1.001,15.063,283.63077,43.379398,CONFIRMED
Kepler-448 b,17.855221681,13.16,911.0,163.04,6823.0,4.308,1.367,11.353,297.45374,41.01099,CONFIRMED
,12.732624065,4.87,432.0,8.22,3950.0,4.721,0.541,15.75,285.16748,43.876339,CANDIDATE
,83.92494032,4.78,226.0,0.62,3960.0,4.746,0.509,15.754,287.85239,43.897991,CANDIDATE
Kepler-719 b,5.007316661,6.96,998.0,234.28,5865.0,4.563,0.827,15.813,295.53613,43.884449,CONFIRMED
Kepler-55 d,2.211116989,1.85,931.0,177.19,4500.0,4.656,0.646,15.791,285.16833,44.026459,CONFIRMED
Kepler-55 b,27.9541337,1.9,400.0,6.04,4500.0,4.656,0.646,15.791,285.16833,44.026459,CONFIRMED
Kepler-110 b,12.69104387,2.57,1008.0,244.3,5869.0,4.024,1.626,12.935,292.92914,48.60281,CONFIRMED
Kepler-248 c,16.23947096,4.14,598.0,30.14,5191.0,4.564,0.837,15.258,293.0614,43.58136,CONFIRMED
Kepler-248 b,6.308201629,2.96,819.0,106.44,5191.0,4.564,0.837,15.258,293.0614,43.58136,CONFIRMED
Kepler-718 b,2.052349884,13.12,1497.0,1183.18,5855.0,4.393,1.08,15.257,299.56189,43.503559,CONFIRMED
Kepler-83 b,9.7704486,2.23,460.0,10.59,3906.0,4.73,0.509,15.777,282.23251,43.66563,CONFIRMED
Kepler-83 d,5.169804269,1.66,569.0,24.75,3906.0,4.73,0.509,15.777,282.23251,43.66563,CONFIRMED
Kepler-109 c,21.22261195,2.48,771.0,83.56,5945.0,4.213,1.302,12.365,290.39273,40.28487,CONFIRMED
Kepler-83 c,20.09017037,2.25,362.0,4.05,3906.0,4.73,0.509,15.777,282.23251,43.66563,CONFIRMED
Kepler-249 c,7.11373257,1.16,429.0,8.01,3561.0,4.855,0.411,15.234,296.98505,43.65852,CONFIRMED
Kepler-249 b,3.306551643,0.91,554.0,22.19,3561.0,4.855,0.411,15.234,296.98505,43.65852,CONFIRMED
Kepler-249 d,15.36845737,1.11,332.0,2.86,3561.0,4.855,0.411,15.234,296.98505,43.65852,CONFIRMED
Kepler-1730 b,13.81020318,4.56,833.0,113.75,5942.0,4.327,1.142,15.425,281.96063,43.70311,CONFIRMED
Kepler-722 b,4.093578461,2.85,1182.0,461.07,6077.0,4.471,0.999,15.399,290.26328,44.55645,CONFIRMED
Kepler-722 c,105.145959,3.43,401.0,6.09,6077.0,4.471,0.999,15.399,290.26328,44.55645,CONFIRMED
Kepler-252 c,10.8484518,2.34,499.0,14.66,4201.0,4.682,0.591,15.058,295.57935,44.545959,CONFIRMED
Kepler-252 b,6.66833241,1.18,587.0,28.06,4201.0,4.682,0.591,15.058,295.57935,44.545959,CONFIRMED
Kepler-723 b,4.082274889,10.55,1016.0,251.48,5655.0,4.581,0.794,15.198,284.83047,44.658138,CONFIRMED
,3.886655224,1.87,1010.0,246.29,5662.0,4.61,0.738,15.371,288.72665,44.60751,CANDIDATE
Kepler-55 c,42.1406089,1.85,349.0,3.49,4500.0,4.656,0.646,15.791,285.16833,44.026459,CONFIRMED
Kepler-55 e,4.617490562,1.62,728.0,66.47,4500.0,4.656,0.646,15.791,285.16833,44.026459,CONFIRMED
Kepler-55 f,10.19849255,1.75,559.0,23.11,4500.0,4.656,0.646,15.791,285.16833,44.026459,CONFIRMED
Kepler-250 c,7.15681552,2.47,782.0,88.23,5029.0,4.494,0.838,15.46,289.59476,44.141949,CONFIRMED
Kepler-250 d,17.64830851,2.43,579.0,26.49,5029.0,4.494,0.838,15.46,289.59476,44.141949,CONFIRMED
Kepler-250 b,4.14810719,1.08,938.0,182.76,5029.0,4.494,0.838,15.46,289.59476,44.141949,CONFIRMED
Kepler-251 c,16.51410989,2.72,655.0,43.57,5527.0,4.488,0.866,15.223,296.56622,44.105862,CONFIRMED
Kepler-251 d,30.1329298,3.14,536.0,19.55,5527.0,4.488,0.866,15.223,296.56622,44.105862,CONFIRMED
Kepler-251 b,4.79090809,1.36,990.0,227.24,5527.0,4.488,0.866,15.223,296.56622,44.105862,CONFIRMED
Kepler-110 c,31.71981013,3.09,743.0,71.97,5869.0,4.024,1.626,12.935,292.92914,48.60281,CONFIRMED
Kepler-251 e,99.6415962,2.64,360.0,3.97,5527.0,4.488,0.866,15.223,296.56622,44.105862,CONFIRMED
Kepler-720 b,4.708326451,10.6,1162.0,431.02,5560.0,4.246,1.21,15.113,298.63565,44.17094,CONFIRMED
Kepler-721 b,5.392026903,2.68,850.0,123.33,5198.0,4.589,0.801,15.651,284.43051,44.48053,CONFIRMED
,2.494170338,2.42,1194.0,480.19,5569.0,4.566,0.829,15.251,284.75943,45.599129,CANDIDATE
Kepler-730 b,6.491682808,9.66,1062.0,301.54,6123.0,4.413,1.107,15.649,285.55481,45.578861,CONFIRMED
Kepler-731 b,3.855603916,13.61,1212.0,508.65,6033.0,4.46,1.046,15.272,296.39316,45.568562,CONFIRMED
Kepler-468 b,38.47876629,13.26,484.0,13.01,5510.0,4.539,0.879,13.779,288.90222,49.370491,CONFIRMED
Kepler-724 b,3.314947362,3.94,1155.0,421.03,5609.0,4.481,0.944,15.142,293.45483,44.792789,CONFIRMED
Kepler-725 b,39.6431552,10.98,472.0,11.74,5231.0,4.455,0.9,15.011,283.97751,44.811562,CONFIRMED
